id_customer,latitude,longitude,vehicle_access_type
71ded4e192,40.748577,-0.569851,A
41621d9d59,42.672878,0.612586,B
09647a1360,40.414179,0.744977,B
587cdeb30c,41.671653,2.770741,A
79b4243bae,40.938277,0.601609,A
fdcd2e50e6,41.860347,2.839486,A
76e5171576,42.896036,1.256728,B
bf8baa4710,41.813843,2.915982,B
72832c5002,42.824876,2.410533,B
377c00d6b7,42.355997,0.451539,B
9b9a98b06a,42.464991,-0.673349,B
2379cde318,40.270929,-3.533708,C
8028f70397,43.305527,-2.876509,B
6d40b3f87c,40.890889,0.74086,A
fb710f1693,41.105223,0.294913,C
e803327500,40.199856,-0.273115,B
112cf37aed,40.53394,-0.443204,A
07e6c93a78,41.521768,3.236316,B
552c58a676,42.700949,0.105535,B
8076a8dab7,41.750711,-0.211972,B
21de2c4a13,40.788498,1.510276,B
a62e3c0499,40.721793,0.003081,A
eeffe01f4c,42.187366,0.289169,A
30bb5e9850,40.733785,0.91895,C
120774aaee,40.854946,-0.337017,C
c0b5a157a7,42.862909,2.260325,A
04b7701eda,37.612523,-0.708766,C
19d5d97b5e,40.384101,-0.725346,B
b209ca41a4,41.696247,2.365373,B
2699df5b3e,42.537013,0.020359,C
afff68c60b,40.655943,2.425102,A
afe5548b00,42.298775,-1.005255,B
f4aa0d9f94,40.405328,-0.125257,B
d51c60c534,40.841857,1.520659,A
f938fad741,28.120493,-13.554426,A
04c20f7626,42.086659,0.196072,B
ff30a8b597,41.637376,0.747233,C
cef23ad9ad,40.755743,-0.191538,B
ddc5773c0f,41.387322,2.616647,C
8adf2e9721,41.97332,0.062138,C
d6877b4e79,41.090187,-2.59168,C
c13abb456b,42.514012,-0.550838,B
8b07a83b84,41.592349,1.287024,A
6c836a9595,42.614993,1.293744,A
1f65b1ca05,42.375853,2.745787,C
7271b295ca,42.534132,1.143438,B
9a1e55ab98,41.841972,0.284001,A
3dff8239ef,42.324027,1.595158,C
1b16322034,41.917176,0.236724,A
327f0db648,41.81088,0.163091,A
5d31da915a,40.990683,0.859916,A
f2e3e72afb,38.053133,-1.536123,B
b7db3b37ca,40.380361,0.787539,B
3e07aceb44,41.881501,0.114745,A
f0f7b6fb13,42.418797,0.717379,A
0eae82d1fa,41.5877,-0.348623,C
14b51e7837,40.48697,-0.667114,B
72f37f6d7a,41.782787,-0.298025,B
240bcf3b86,41.348679,0.875037,B
9973b32e92,42.22077,-6.185233,A
4c7c1078f0,40.646803,0.978485,A
b82c94fe67,41.692212,2.943918,A
a688826f6c,42.885941,0.920937,B
6c89fb73b6,41.601636,0.032934,A
1ae5e342bc,42.10285,2.229947,A
86bae87217,42.594335,3.094212,A
85e11ef04e,41.287378,0.25736,C
6d413f606b,42.866931,1.788458,B
fa6eed631b,37.569018,-1.498685,B
8b228eb029,41.769965,0.833097,B
3ed9a74f6e,39.734981,-1.001873,C
311ee22564,41.325293,2.449007,B
554486b5c7,42.377653,-0.871078,C
56454e0225,42.194348,0.488009,C
aa5ddefc7a,40.879898,3.210952,A
f6041a534f,41.342301,0.245825,C
296bb6692f,41.308908,1.011627,C
abceefbff0,42.145551,-1.084967,A
0ccff6ab6f,40.992057,-3.816506,C
7f25585156,42.855105,-0.810777,C
a6fd751fe9,42.218257,0.627165,A
c0bf4ab462,42.082114,1.089169,A
f1c40e18c2,42.406237,1.406891,C
f516d681ee,38.307363,-7.061027,B
242ba064ff,41.279698,0.805212,B
3866f92033,41.476823,0.734054,A
bd1ede9d08,41.989195,0.937989,A
c3066f90f7,40.50986,1.166767,B
82e059b83c,41.204675,1.406706,A
b808ed5f1c,39.546758,-5.075118,B
8eac17f437,41.522542,0.249118,C
e1da0b42ae,42.837223,0.245889,B
b4c56c69a4,41.235759,-0.218566,A
d8e6d4447c,41.148537,-0.241227,A
783edd415d,42.670566,0.732899,A
